Date,Day,WLEMUINDXD
13/04/2020,Mon,311.21
14/04/2020,Tue,178.24
15/04/2020,Wed,179.98
16/04/2020,Thu,173.1
17/04/2020,Fri,240.98
18/04/2020,Sat,188.61
19/04/2020,Sun,514.86
20/04/2020,Mon,241.9
21/04/2020,Tue,270.74
22/04/2020,Wed,211.44
23/04/2020,Thu,314.33
24/04/2020,Fri,212.75
25/04/2020,Sat,322.31
26/04/2020,Sun,601.63
27/04/2020,Mon,544.81
28/04/2020,Tue,406.83
29/04/2020,Wed,215.48
30/04/2020,Thu,297.41
01/05/2020,Fri,199.13
02/05/2020,Sat,369.69
03/05/2020,Sun,315.76
04/05/2020,Mon,242.89
05/05/2020,Tue,222.51
06/05/2020,Wed,143.03
07/05/2020,Thu,322.31
08/05/2020,Fri,135.65
09/05/2020,Sat,122.9
10/05/2020,Sun,159.93
11/05/2020,Mon,377.59
12/05/2020,Tue,156.51
13/05/2020,Wed,176.04
14/05/2020,Thu,241.45
15/05/2020,Fri,190.15
16/05/2020,Sat,291.43
17/05/2020,Sun,322.95
18/05/2020,Mon,268.63
19/05/2020,Tue,251.24
20/05/2020,Wed,301.2
21/05/2020,Thu,34.27
22/05/2020,Fri,150.51
23/05/2020,Sat,163.44
24/05/2020,Sun,287.03
25/05/2020,Mon,195.34
26/05/2020,Tue,124.61
27/05/2020,Wed,267.67
28/05/2020,Thu,132.94
29/05/2020,Fri,106.19
30/05/2020,Sat,349.86
31/05/2020,Sun,576.88
01/06/2020,Mon,35.02
02/06/2020,Tue,60.54
03/06/2020,Wed,91.94
04/06/2020,Thu,21.68
05/06/2020,Fri,242.01
06/06/2020,Sat,88.82
07/06/2020,Sun,272.81
08/06/2020,Mon,223.07
09/06/2020,Tue,181.38
10/06/2020,Wed,100.37
11/06/2020,Thu,286.11
12/06/2020,Fri,243.69
13/06/2020,Sat,163.33
